model,board,barcode
AAE004547-CAA,MAIN集合,L1
AAE004547-CBA,MAIN集合,L1
AAE004547-CCA,MAIN集合,L1
AAE004547-CDA,MAIN集合,L1
AAE004547-CEA,MAIN集合,L1
AAE004547-CFA,MAIN集合,L1
AAE005146-CAA,MAIN集合,L1
AAE005146-CBA,MAIN集合,L1
AAE005146-CCA,MAIN集合,L1
AAE005146-CDA,MAIN集合,L1
AAE005146-CEA,MAIN集合,L1
AAE005146-CFA,MAIN集合,L1
CN-SN38J0CJ,D811ALCD,L1
CN-SN3AJ1CJ,E154AMAIN,L1
CN-SN3AJ3CJ,E158ANAVI,L1
CN-SN3AJ3CJ,E163ALCD,L1
CN-SN6BJ0CJ,E158BNAVI,L1
CN-SN78J1CJ,D812ALCD,L1
CN-SN7AJ1CJ,E155ANAVI,L1
CN-SN7BJ0CJ,E155BNAVI,L1
CN-SND8J0CJ,D813ALCD,L1
CN-SNKBJ0CJ,E156DNAVI,L1
CN-V0170 MAIN,MAIN,L1
EAA0739,MAIN,L1
EAA0739,MAIN集合,L1
EAA0774,MAIN集合,L1
NAS-0030,BP,L1
NAS-0030,FR集合,L1
TRNC-1860B,MAIN,L1
AAE005155-CAA,MAIN集合,L2
AAE005155-CBA,MAIN集合,L2
AAE005155-CCA,MAIN集合,L2
AAE005155-CDA,MAIN集合,L2
CN-FS010DDA,350BMAIN,L2
CN-FS010DDA,353FNAVI,L2
CN-FS010DDA,355CDTV,L2
CN-FS010DDA,367ALCD,L2
CN-FS910DDA,350AMAIN,L2
CN-FS910DDA,353DNAVI,L2
CN-FS910DDA,355ADTV,L2
CN-FS910DDA,358AHDMI,L2
CN-FS910DDA,364ALCD,L2
CN-FS910DDA,E358A・ｽ@HDMI,L2
CN-FS910DDA,E364A・ｽ@NAVI,L2
CN-FS910DDB,353GNAVI,L2
CN-FS910DDB,365LCD,L2
CN-FS910DDB,E358A・ｽ@HDMI,L2
CN-FS910DDB,E365A・ｽ@LCD,L2
CN-FS910DDB,E365A・ｽ@NAVI,L2
CN-FS910DFS,350CMAIN,L2
CN-FS910DFS,353HNAVI,L2
CN-FS910DFS,E358A・ｽ@HDMI,L2
CN-FS910DFS,E364A・ｽ@NAVI,L2
CN-HA01WDDA,・ｽ@,L2
CN-HA01WDDA,351AMAIN,L2
CN-HA01WDDA,353ENAVI,L2
CN-HA01WDDA,355BDTV,L2
CN-HA01WDDA,359ASD集合,L2
CN-HA01WDDA,366ALCD,L2
CN-HA01WDDA,E359A・ｽ@SD,L2
CN-HA01WDDA,E366A・ｽ@TFT,L2
CN-HA01WDFS,351BMAIN,L2
CN-HA01WDFS,353JNAVI,L2
CN-HA01WDFS,E359A・ｽ@SD,L2
CN-HA01WDFS,E366A・ｽ@TFT,L2
CN-SBDCJ0CJ,411BNAVI,L2
CN-SBDDJ0CJ,411DNAVI,L2
CN-SBDFJ0CJ,771BNAVI,L2
CN-SN37J0CJ,612AAKEY,L2
CN-SN38J0CJ,D392BHDMI,L2
CN-SN39J1CJ,D021TSD,L2
CN-SN39J1CJ,D956AMAIN,L2
CN-SN39J1CJ,D960ANAVI,L2
CN-SN39J3CJ,D956CMAIN,L2
CN-SN3AJ1CJ,E157ANAVI,L2
CN-SN3AJ3CJ,E154BMAIN,L2
CN-SN3AJ3CJ,E166AKEY集合,L2
CN-SN6BJ0CJ,E154CMAIN,L2
CN-SN79J0CJ,D955AMAIN,L2
CN-SN79J0CJ,D957ANAVI,L2
CN-SN79J0CJ,D962AHDMI集合,L2
CN-SN79J0CJ,D962ALCD,L2
CN-SN79J0CJ,D963ALCD,L2
CN-SN79J0CJ,D966AKEY集合,L2
CN-SN79J0CJ,D966ASW,L2
CN-SN79J5CJ,D955BMAIN,L2
CN-SN79J5CJ,D958ANAVI,L2
CN-SN79J5CJ,D963ALCD,L2
CN-SN79JACJ,D956BMAIN,L2
CN-SN7AJ1CJ,E153AMAIN,L2
CN-SN7AJ4CJ,E153CMAIN,L2
CN-SN7AJ4CJ,E156ANAVI,L2
CN-SN7AJ4CJ,E161ALCD,L2
CN-SN7AJ4CJ,E164AKEY集合,L2
CN-SN7AJ7CJ,E153BMAIN,L2
CN-SN7AJ7CJ,E165AKEY集合,L2
CN-SN7BJ0CJ,D962BHDMI集合,L2
CN-SN7BJ0CJ,E153EMAIN,L2
CN-SN7BJ1CJ,E153FMAIN,L2
CN-SN7BJ2CJ,E153GMAIN,L2
CN-SN7BJ2CJ,E156CNAVI,L2
CN-SN7CJ0CJ,E155CNAVI,L2
CN-SN7DJ0CJ,155DNAVI,L2
CN-SN7DJ0CJ,159CDTV集合,L2
CN-SND9J0CJ,D021USD,L2
CN-SND9J0CJ,D956DMAIN,L2
CN-SND9J0CJ,D959ANAVI,L2
CN-SND9J0CJ,D964ALCD,L2
CN-SND9J2CJ,D956EMAIN,L2
CN-SND9J2CJ,D965ALCD,L2
CN-SNDCJ1CJ,410AMAIN,L2
CN-SNDCJ1CJ ,411ANAVI,L2
CN-SNDCJ1CJ,412ALCD,L2
CN-SNDCJ1CJ,412ALCD集合,L2
CN-SNDDJ0CJ,410BMAIN,L2
CN-SNDDJ0CJ,411CNAVI,L2
CN-SNDFJ0CJ,770AMAIN,L2
CN-SNDFJ0CJ,771ANAVI,L2
CN-SNDFJ0CJ,772ALCD,L2
CN-SNK9J0CJ,D955CMAIN,L2
CN-SNK9J0CJ,D958BNAVI,L2
CN-SNK9J0CJ,E142ALCD,L2
CN-SNKAJ0CJ,E153DMAIN,L2
CN-SNKAJ0CJ,E156BNAVI,L2
CN-SNKAJ0CJ,E162ALCD,L2
CN-SNKBJ0CJ,E153HMAIN,L2
CN-SNKCJ0CJ,E156ENAVI,L2
CN-SNKDJ0CJ,156FNAVI,L2
CN-SNKDJ0CJ,159DDTV集合,L2
CN-SNKDJ0CJ,E156FNAVI,L2
SAKH891B,SAKH891B,L2
