,品 目 名 称,,指図－工程,,基 準,前 月 累 計,日付,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,ＣＨＩＰ本数,異形　本数,総本数,,,タクト/　　　台　　　(ｓｅｃ）,稼働率(%),,前工程,,切替,取数,
0,CN-SNDFJ0CJ,24.0,1198755-20,,2025-09-24 00:00:00,,GC03,160,,,,,,,,,,,,,,,,,,,,,,,428,56,C.,68480.0,,40,0.8,,GC06,,,1,0.0
1,770AMAIN/REFRS,,Y8470811R,,,160,,,2.2222222222222223,,,,,●2ASSY,,,,,,,,,,,,,,,,,,,E.,8960.0,,,72,台/H,,,,17,
2,CN-SNDFJ0CJ,24.0,1198756-20,,2025-09-24 00:00:00,,GC03,320,,,,,,,,,,,,,,,,,,,,,,,428,56,C.,136960.0,,40,0.8,,GC06,,,1,0.0
3,770AMAIN/REFRS,,Y8470811R,,,320,,,4.444444444444445,,,,,,●3ASSY,,,,,,,,,,,,,,,,,,E.,17920.0,,,72,台/H,,,,17,
4,CN-SNDFJ0CJ,,1198955-20,,2025-09-26 00:00:00,,GC03,45,,,435,,,,,,,,,,,,,,,,,,,,428,56,C.,205440.0,,40,0.8,,GC06,,,1,0.0
5,770AMAIN/REFRS,,Y8470811R,,,480,,50,0.625,,,6.041666666666667,,,●3ASSY,,,,,,,,,,,,,,,,,,E.,26880.0,,,72,台/H,,,,17,
6,AAE004547-CAA,,1198880-10,,2025-09-25 00:00:00,,GC09,,,,1800,,,,,,,,,,,,,,,,,,,,110,2,C.,198000.0,,9,0.8,,-,,0.75,6,0.0
7,MAIN集合/REFA,,Y8470680R,,,1800,9,,,,,6.375,,▲2●7ASSY(0),,,,,,,,,,,,,,,,,,,E.,3600.0,,,320,台/H,MT30,,,150,
8,AAE004547-CAA,,1199009-10,,2025-09-26 00:00:00,,GC09,,,,1140,660,,,,,,,,,,,,,,,,,,,110,2,C.,198000.0,,9,0.8,,-,,,6,0.0
9,MAIN集合/REFA,,Y8470680R,,,1800,5,,,,,3.5625,2.0625,,,,,,,▲8●14ASSY(0),,,,,,,,,,,,,E.,3600.0,,,320,台/H,MT30,,,150,
10,AAE004547-CAA,,1199010-10,,2025-09-26 00:00:00,,GC09,,,,,1800,,,,,,,,,,,,,,,,,,,110,2,C.,198000.0,,9,0.8,,-,,,6,0.0
11,MAIN集合/REFA,,Y8470680R,,,1800,6,,,,,,5.625,,,,,,,,▲9●15ASSY(0),,,,,,,,,,,,E.,3600.0,,,320,台/H,MT30,,,150,
12,CN-SNDDJ0CJ,,1198978-20,,2025-09-29 00:00:00,,GC03,,,,,415,65,,,,,,,,,,,,,,,,,,446,69,C.,214080.0,,44,0.8,,GC06,,2,1,0.0
13,410BMAIN/REFRS,,Y8470720R,,,480,C6-30日8h,,,,,,8.340277777777779,0.9930555555555556,,,,●6ASSY,,,,,,,,,,,,,,,E.,33120.0,,,65.45454545454545,台/H,-,,,17,
14,CN-SNDDJ0CJ,,1198979-20,,2025-09-29 00:00:00,,GC03,,,,,,460,20,,,,,,,,,,,,,,,,,446,69,C.,214080.0,,44,0.8,,GC06,,,1,0.0
15,410BMAIN/REFRS,,Y8470720R,,,480,C6-30日12h,,,,,,,7.027777777777778,0.3055555555555556,,,,●7ASSY,,,,,,,,,,,,,,E.,33120.0,,,65.45454545454545,台/H,-,,,17,
16,CN-SNDDJ0CJ,,1198980-20,,2025-10-01 00:00:00,,GC03,,,,,,,220,,,,,,,,,,,,,,,,,446,69,C.,98120.0,,44,0.8,,GC06,,,1,0.0
17,410BMAIN/REFRS,,Y8470720R,,,220,C6-1日8h,,,,,,,,3.361111111111111,,,,,●8ASSY,,,,,,,,,,,,,E.,15180.0,,,65.45454545454545,台/H,-,,,17,
18,CN-SNDDJ0CJ,,1198981-20,,2025-10-01 00:00:00,,GC03,,,,,,,261,,,,,,,,,,,,,,,,,446,69,C.,116406.0,,44,0.8,,GC06,,,1,0.0
19,410BMAIN/REFRS,,Y8470720R,,,261,C6-1日15.5h,,,,,,,,3.9875000000000003,,,,,●8ASSY(1),,,,,,,,,,,,,E.,18009.0,,,65.45454545454545,台/H,-,,,17,
20,CN-SNDDJ0CJ,,1198982-20,,2025-10-01 00:00:00,,GC03,,,,,,,,480,,,,,,,,,,,,,,,,446,69,C.,214080.0,,44,0.8,,GC06,,,1,0.0
21,410BMAIN/REFRS,,Y8470720R,,,480,C6-2日12h,,,,,,,,,7.333333333333333,,,,,●9ASSY,,,,,,,,,,,,E.,33120.0,,,65.45454545454545,台/H,-,,,17,
22,AAE004547-CAA,,1199011-10,,2025-10-02 00:00:00,,GC09,,,,,,,,,,,66,,,,,,,,,,,,,110,2,C.,7260.0,,9,0.8,,-,,0.75,6,0.0
23,MAIN集合/REFA,,Y8470680R,,,66,7,,,,,,,,,0.75,,,0.20625,,▲9●15ASSY(0),,,,,,,,,,,,E.,132.0,,,320,台/H,MT30,,,66,
24,AAE004547-CAA,,1199012-10,,2025-10-02 00:00:00,,GC09,,,,,,,,,,,1578,,,,,,,,,,,,,110,2,C.,173580.0,,9,0.8,,-,,,6,0.0
25,MAIN集合/REFA,,Y8470680R,,,1578,8,,,,,,,,,,,,4.93125,,▲9●15ASSY(0),,,,,,,,,,,,E.,3156.0,,,320,台/H,MT30,,,150,
26,TS-2912-10,,1198343-10,,2025-10-03 00:00:00,,GC16,,,,,,,,,,,10,,,,,,,,,,,,,389,19,C.,3890.0,,56,0.8,,-,,0.75,1,0.0
27,MAIN/REFB,,Y8470378R,,,10,,,,,,,,,,,,,0.9444444444444444,,,▲10MT●15ASSY(2),,,,,,,,,,,E.,190.0,,,51.42857142857144,台/H,GC04,,,10,
28,TS-2912-10,,1198343-20,,2025-10-03 00:00:00,,GC16,,,,,,,,,,,10,,,,,,,,,,,,,405,51,C.,4050.0,,49,0.8,,GC04,,0.75,1,0.0
29,MAIN/REFA,,Y8470378R,,,10,,,,,,,,,,,,,0.9201388888888888,,,,,,,,,,,,,,E.,510.0,,,58.77551020408164,台/H,AT38,,,10,
30,CN-SNDDJ0CJ,3.0,1199101-20,,2025-10-03 00:00:00,,GC03,,,,,,,,,,,460,20,,,,,,,,,,,,446,69,C.,214080.0,,44,0.8,,GC06,,2,1,0.0
31,410BMAIN/REFRS,,Y8470720R,,,480,C6-3日12ｈ,,,,,,,,,,,,9.027777777777779,0.3055555555555556,,●10ASSY,,,,,,,,,,,E.,33120.0,,,65.45454545454545,台/H,-,,,17,
32,CN-SNDDJ0CJ,3.0,1199102-20,,2025-10-03 00:00:00,,GC03,,,,,,,,,,,,480,,,,,,,,,,,,446,69,C.,214080.0,,44,0.8,,GC06,,,1,0.0
33,410BMAIN/REFRS,,Y8470720R,,,480,C6-6日4ｈ,,,,,,,,,,,,,7.333333333333333,,,,,,●14ASSY,,,,,,,E.,33120.0,,,65.45454545454545,台/H,-,,,17,
34,CN-SNDDJ0CJ,3.0,1199103-20,,2025-10-03 00:00:00,,GC03,,,,,,,,,,,,25,455,,,,,,,,,,,446,69,C.,214080.0,,44,0.8,,GC06,,,1,0.0
35,410BMAIN/REFRS,,Y8470720R,,,480,C6-6日11ｈ,,,,,,,,,,,,,0.3819444444444445,6.951388888888889,,,,,,●15ASSY,,,,,,E.,33120.0,,,65.45454545454545,台/H,-,,,17,
36,CN-SNDDJ0CJ,8.0,1199104-20,,2025-10-08 00:00:00,,GC03,,,,,,,,,,,,,70,410,,,,,,,,,,446,69,C.,214080.0,,44,0.8,,GC06,,,1,0.0
37,410BMAIN/REFRS,,Y8470720R,,,480,C6-8日12ｈ(15h),,,,,,,,,,,,,,1.0694444444444444,6.263888888888889,,,,,,●16ASSY,,,,,E.,33120.0,,,65.45454545454545,台/H,-,,,17,
38,TS-2910-22,,1198346-10,,2025-10-08 00:00:00,,GC16,,,,,,,,,,,,,,10,,,,,,,,,,384,19,C.,3840.0,,84,0.8,,-,,0.75,1,0.0
