品 目 名 称,,指図－工程,,基 準,前 月 累 計,日付,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,ＣＨＩＰ本数,異形　本数,総本数,,,タクト/　　　台　　　(ｓｅｃ）,稼働率(%),,前工程,,切替,取数,
CN-SNDFJ0CJ,24.0,1198772-20,,2025-09-24 00:00:00,,GC03,640,,,,,,,,,,,,,,,,,,,,,,,41,18,C.,26240.0,,40,0.8,,GC04,,0.25,1,0.0
772ALCD/REFRS,,Y8470815R,,,640,,,9.13888888888889,,,,●1ASSY,,,,,,,,,,,,,,,,,,,,E.,11520.0,,,72,台/H,,,,17,
CN-SNDFJ0CJ,24.0,1198773-10,,2025-09-24 00:00:00,,GC03,160,,,,,,,,,,,,,,,,,,,,,,,219,24,C.,35040.0,,45,0.8,,-,,0.5,1,0.0
772ALCD/REFRR,,Y8470815R,,,160,,,3,,,,,●2ASSY,,,,,,,,,,,,,,,,,,,E.,3840.0,,,64,台/H,GC04,,,25,
CN-SNDFJ0CJ,24.0,1198774-10,,2025-09-24 00:00:00,,GC03,180,,,140,,,,,,,,,,,,,,,,,,,,219,24,C.,70080.0,,45,0.8,,-,,,1,0.0
772ALCD/REFRR,,Y8470815R,,,320,,320,2.8125,,,,,,●3ASSY,,,,,,,,,,,,,,,,,,E.,7680.0,,,64,台/H,GC04,,,25,
CN-SNDFJ0CJ,24.0,1198773-20,,2025-09-24 00:00:00,,GC03,,,,160,,,,,,,,,,,,,,,,,,,,41,18,C.,6560.0,,40,0.8,,GC04,,0.25,1,0.0
772ALCD/REFRS,,Y8470815R,,,160,,160,,,,,,●2ASSY,,,,,,,,,,,,,,,,,,,E.,2880.0,,,72,台/H,,,,17,
CN-SNDFJ0CJ,24.0,1198774-20,,2025-09-24 00:00:00,,GC03,60,,,260,,,,,,,,,,,,,,,,,,,,41,18,C.,13120.0,,40,0.8,,GC04,,,1,0.0
772ALCD/REFRS,,Y8470815R,,,320,,60,,,,3.611111111111111,,,●3ASSY,,,,,,,,,,,,,,,,,,E.,5760.0,,,72,台/H,,,,17,
